,Annotator,Paper,Cited-by,Follow-up,Citation,Context,Cleaned_context
0,A,A00-1043,C00-2140,0,"(Jing, 2000)","We shorten the output of the summarizer to a \telegraphic style""; that way, more information can be included in a summary of k words (or n bytes). Since we only use shallow methods for textual analysis that do not generate a dependency structure, we cannot use complex methods for text reduction as described, e.g., in (Jing, 2000). Our method simply excludes words occurring in the stop list from the summary, except for some highly informative words such as \I"" or \not"".",shorten the output of the summarizer to style that way more information can be included in summary of words Since we only use shallow methods for textual analysis that do not generate dependency structure we can not use complex methods for text reduction as described in Our method simply excludes words occurring in the stop list from the summary except for some highly informative words such as or
1,A,A97-1011,W09-1118,1,"(Tapanainen and Järvinen, 1997)","The task is approached using the IOB tagging scheme proposed by, e.g., Ramshaw and Marcus (1995), turning the original 7-class task into a 15-class task. Each token is represented using a fairly standard menagerie of features, including such stemming from the surface appearance of the token (e.g.,Contains dollar? Length in characters), calculated based on linguistic pre-processing made with the English Functional Dependency Grammar (Tapanainen and Järvinen, 1997) (e.g.,Case, Part-of-speech), fetched from precompiled lists of information (e.g.,Is first name?), and features based on predictions concerning the context of the token (e.g,Class of previous token). The decision committee is made up from 10 boosted decision trees using MultiBoostAB (Webb, 2000) (cf.",The task is approached using the tagging scheme proposed by turning the original class task into class task Each is represented using fairly standard menagerie of features including such stemming from the surface appearance of the calculated based on linguistic pre processing made with the Functional Dependency Grammar fetched from precompiled lists of information and features based on predictions concerning the context of the The decision committee is made up from boosted decision trees using MultiBoostAB cf
2,A,A97-1011,A00-2017,1,"(Tapanainen and Jrvinen, 1997)","The corpus was divided into 80% training and 20% test. The training and the test data  were processed by the FDG parser (Tapanainen and Jrvinen, 1997). Only verbs that  occur at least 50 times in the corpus were chosen.",The corpus was divided into training and test The training and the test data were processed by the parser Only verbs that occur at least times in the corpus were chosen
3,A,A97-1011,C00-2099,0,"(Tapanainen and J�arvinen, 1997)","The model has been realized as a type of probabilistic chart parser. The only other high-�delity computational rendering of Tesni�ere's dependency syntax that we are aware of is that of (Tapanainen and J�arvinen, 1997), which is neither generative nor statistical. The stochastic model generating dependency trees is very similar to other statistical dependency models, e.g., to that of (Alshawi, 1996).",The model has been realized as type of probabilistic chart parser The only other high computational rendering of dependency syntax that we are aware of is that of which is neither generative nor statistical The stochastic model generating dependency trees is very similar to other statistical dependency models to that of
4,A,A97-1011,W04-1505,0,"(Lin, 1998; Tapanainen and J�arvinen, 1997)","Participles may function as adjectives (Western industrialized/VBN countries), again obviating the need for an empty subject. Most successful deep-linguistic Dependency Parsers (Lin, 1998; Tapanainen and J�arvinen, 1997) do not have a statistical base. But one DG advantage is precisely that it o�ers simple but powerful statistical Maximum Likelihood Estimation (MLE) models.",Participles may function as adjectives again obviating the need for an empty subject Most successful deep linguistic Dependency Parsers do not have statistical base But advantage is precisely that it simple but powerful statistical Maximum Likelihood Estimation models
5,A,A97-1011,P99-1033,0,"(Tapanainen and J~irvinen, 1997; J£rvinen and Tapanainen, 1998)","Computational approaches to dependency syntax have recently become quite popular (e.g., a workshop dedicated to computational approaches to dependency grammars has been held at COLING/ACL'98 Conference). J~irvinen and Tapananinen have demonstrated an efficient wide-coverage dependency parser for English (Tapanainen and J~irvinen, 1997; J£rvinen and Tapanainen, 1998). The work of Sleator and Temperley(1991) on link grammar, an essentially lexicalized variant of dependency grammar, has also proved to be interesting in a number of aspects.",Computational approaches to dependency syntax have recently become quite popular and have demonstrated an efficient wide coverage dependency parser for The work of on link grammar an essentially lexicalized variant of dependency grammar has also proved to be interesting in number of aspects
6,A,A97-1011,W06-0202,3,"(Tapanainen and Järvinen, 1997)","There are 3911 instances of binary relations in all corpora. Three dependency parsers were used for these experiments:MINIPAR3 (Lin, 1999), the Machinese Syntax4 parser from Connexor Oy (Tapanainen and Järvinen, 1997) and the Stanford5 parser (Klein and Manning, 2003). These three parsers represent a cross-section of approaches to producing dependency analyses:MINIPAR uses a constituency grammar internally before converting the result to a dependency tree, Machinese Syntax uses a functional dependency grammar, and the Stanford Parser is a lexicalized probabilistic parser.",There are instances of binary relations in all corpora dependency parsers were used for these experiments the parser from and the parser These parsers represent cross section of approaches to producing dependency analyses uses constituency grammar internally before converting the result to dependency tree Syntax uses functional dependency grammar and the is lexicalized probabilistic parser
7,A,A97-1011,P01-1006,3,"(Tapanainen and Järvinen, 1997)","One of the very few systems3 that is fully automatic is MARS, the latest version of Mitkov’s knowledge-poor approach implemented by Evans. Recent work on this project has demonstrated that fully automatic anaphora resolution is more difficult than previous work has suggested (Orăsan et al., 2000). workbench employs one of the high performance ”super-taggers” for English - Conexor’s FDG Parser (Tapanainen and Järvinen, 1997). This super-tagger gives morphological information and the syntactic roles of words (in most of the cases).",of the very few that is fully automatic is the latest version of knowledge poor approach implemented by Recent work on this project has demonstrated that fully automatic anaphora resolution is more difficult than previous work has suggested workbench employs of the high performance super taggers for Conexor Parser This super tagger gives morphological information and the syntactic roles of words
8,A,A97-1011,E12-1072,0,"(Tapanainen and Järvinen, 1997)","Except for AnCora-ES, with 10,791 elliptic pronouns, our corpus is larger than the ones used in previous approaches: about 1,830 verbs including zero and explicit subjects in (Ferrández and Peral, 2000) (the exact number is not mentioned in the paper) and 1,202 zero subjects in (Rello and Illisei, 2009b). The corpus was parsed by Connexor’s Machinese Syntax (Connexor Oy, 2006), which returns lexical and morphological information as well as the dependency relations between words by employing a functional dependency grammar (Tapanainen and Järvinen, 1997). To annotate our corpus we created an annotation tool that extracts the finite clauses and the annotators assign to each example one of the defined annotation tags.",Except for AnCora with elliptic pronouns our corpus is larger than the ones used in previous approaches about verbs including and explicit subjects in and subjects in The corpus was parsed by Connexor Machinese Syntax which returns lexical and morphological information as well as the dependency relations between words by employing functional dependency grammar annotate our corpus we created an annotation tool that extracts the finite clauses and the annotators assign to each example of the defined annotation tags
9,A,C00-1072,C02-1130,2,"(Lin and Hovy, 2000)","We therefore created features that use topic signatures for each of the person subcategories. A topic signature, as described in (Lin and Hovy, 2000), is a list of terms that can be used to signal the membership of a text in the relevant topic or category. Each term in a text is given a topic signature score that indicates its ability to signal that the text is in a relevant category (the higher the score, the more that term is indicative of that category).",therefore created features that use topic signatures for each of the person subcategories topic signature as described in is list of terms that can be used to signal the membership of text in the relevant topic or category Each term in text is given topic signature score that indicates its ability to signal that the text is in relevant category
10,A,C00-1072,C08-1021,1,"(Lin and Hovy, 2000)","Section 5 describes the results when evaluating different versions of KnowNet and finally, section 6 presents some concluding remarks and future work. Topic Signatures (TS) are word vectors related to a particular topic (Lin and Hovy, 2000). Topic Signatures are built by retrieving context words of a target topic from a large corpora.",Section describes the results when evaluating different versions of and finally section presents some concluding remarks and future work Signatures are word vectors related to particular topic Signatures are built by retrieving context words of target topic from large corpora
